"","ND251_34","ND251_MPP"
"AHR",47,124
"AR",73,8
"ARID3A",43,7
"ARNT",78,140
"ARNTL",115,87
"ASCL1",116,127
"ASCL2",131,128
"ATF1",123,166
"ATF2",183,180
"ATF3",11,46
"BACH1",179,150
"BACH2",75,85
"BARX2",154,136
"BATF",138,186
"BCL11A",14,48
"BCL6",87,33
"BHLHE40",128,152
"CEBPA",166,169
"CEBPB",172,111
"CEBPD",90,72
"CLOCK",2,2
"CTCF",55,163
"CTCFL",107,49
"DUX4",42,71
"E2F1",61,43
"E2F2",8,4
"E2F3",76,138
"E2F4",118,40
"E2F6",28,64
"E2F7",23,20
"E2F8",164,132
"EBF1",112,119
"EGR1",167,151
"EGR2",88,51
"EHF",190,190
"ELF1",148,69
"ELK1",108,107
"ELK3",38,23
"ELK4",152,103
"EPAS1",79,68
"ESR1",57,11
"ESR2",142,83
"ESRRA",37,12
"ETS2",125,170
"ETV1",48,158
"ETV5",66,31
"ETV6",191,191
"ETV7",145,100
"FOS",165,129
"FOSL1",36,6
"FOSL2",30,34
"FOXA1",135,114
"FOXA2",1,14
"FOXD2",171,38
"FOXG1",77,62
"FOXH1",158,79
"FOXK1",85,139
"FOXM1",99,162
"FOXO3",44,55
"FOXP1",180,143
"FOXP2",92,56
"FOXP3",140,137
"GATA1",176,5
"GATA2",124,91
"GATA3",31,92
"GATA4",68,131
"GLI2",96,65
"GLIS1",32,27
"GMEB1",151,141
"GMEB2",69,41
"GRHL2",27,22
"GTF2B",194,193
"GTF2I",150,84
"HEY1",89,9
"HIF1A",102,175
"HINFP",22,102
"HNF1B",143,148
"HNF4A",7,75
"HNF4G",146,109
"HOXA1",127,101
"HOXA4",189,177
"HOXA6",132,159
"HOXB13",113,156
"HOXC6",168,171
"HSF1",50,44
"HSF2",144,185
"IRF1",156,145
"IRF2",121,161
"IRF3",170,123
"IRF4",74,73
"JUN",137,187
"JUNB",19,50
"JUND",192,194
"KLF1",9,32
"KLF10",45,106
"KLF3",177,189
"KLF4",82,181
"KLF9",130,135
"KMT2A",84,113
"LHX2",111,93
"MAF",53,67
"MAFF",15,1
"MAFK",72,188
"MECOM",110,134
"MEF2A",17,30
"MEF2C",187,154
"MEIS1",34,28
"MITF",54,13
"MNT",58,63
"MXI1",94,45
"MYB",155,29
"MYBL2",29,35
"MYC",80,61
"MYOD1",40,3
"NANOG",160,86
"NFAT5",35,78
"NFATC1",26,94
"NFE2",16,57
"NFIC",106,37
"NFYA",101,53
"NFYB",46,149
"NKX2-1",20,24
"NR2C2",104,97
"NR2F2",162,133
"NRF1",86,70
"ONECUT1",64,25
"OTX2",159,173
"PAX5",10,59
"PBX1",6,39
"PBX3",49,160
"PGR",117,153
"POU2F1",24,120
"POU2F2",60,110
"PPARG",95,99
"PRDM1",70,104
"PRDM14",169,164
"RARG",105,88
"RBPJ",97,182
"RELA",182,183
"REST",109,167
"RFX2",12,19
"RFX5",147,176
"RUNX1",41,16
"RUNX2",21,17
"RUNX3",174,184
"RXRA",62,121
"RXRG",51,147
"SETDB1",103,108
"SIX5",93,157
"SMAD3",18,76
"SOX17",133,18
"SP1",139,165
"SP4",119,98
"SPI1",71,80
"SPIB",161,90
"SREBF1",134,115
"SRF",98,122
"STAT1",163,146
"STAT2",83,89
"STAT3",175,118
"STAT4",81,74
"STAT5A",153,126
"STAT5B",126,66
"TBP",39,125
"TCF12",120,81
"TCF21",91,60
"TCF3",193,192
"TCF4",67,168
"TCF7L2",184,105
"TEAD4",181,116
"TFAP2A",157,36
"TFAP2C",3,21
"TFAP4",13,77
"TFDP1",5,47
"THAP1",114,95
"TP63",100,144
"TP73",59,42
"USF1",33,58
"USF2",129,178
"VDR",65,130
"VEZF1",25,10
"XBP1",136,117
"YY1",186,96
"ZBTB33",122,155
"ZBTB7A",63,52
"ZBTB7B",173,82
"ZEB1",141,172
"ZFP42",185,142
"ZFX",188,179
"ZKSCAN1",52,54
"ZNF143",149,112
"ZNF263",178,26
"ZNF384",56,174
"ZNF76",4,15
